Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,56.619999,58.790001,54.959999,57.299999,54.045517,8098200
2015-02-01,57.849998,59.130001,57.480000,58.750000,55.413158,7013600
2015-03-01,58.700001,59.099998,56.299999,59.009998,55.658390,8071700
2015-04-01,59.590000,63.709999,59.369999,62.230000,58.695507,8193300
2015-05-01,62.459999,62.810001,60.029999,60.070000,56.658188,9161800
2015-06-01,60.119999,60.119999,56.970001,57.680000,54.403931,9040500
2015-07-01,57.950001,58.209999,54.459999,55.490002,52.874599,12195300
2015-08-01,55.119999,55.619999,45.270000,51.290001,48.872559,16056600
2015-09-01,50.380001,52.439999,48.119999,49.820000,47.471836,12807500
2015-10-01,50.110001,54.160000,49.529999,52.340000,49.873062,12932600
2015-11-01,52.599998,53.619999,50.020000,50.299999,47.929218,11033600
2015-12-01,50.459999,50.730000,47.230000,48.660000,46.366516,20398500
2016-01-01,47.529999,47.790001,43.439999,47.000000,45.380966,18045900
2016-02-01,46.689999,48.009998,45.320000,47.029999,45.409935,13067000
2016-03-01,47.730000,51.689999,47.689999,51.369999,49.600430,18674800
2016-04-01,50.689999,52.660000,49.630001,51.459999,49.687332,15429300
2016-05-01,51.430000,51.610001,48.810001,50.169998,48.441769,15636600
2016-06-01,50.029999,52.380001,48.630001,51.590000,49.812855,18339800
2016-07-01,51.830002,53.139999,50.360001,53.090000,51.909290,15731900
2016-08-01,53.220001,54.840000,52.560001,53.270000,52.085285,19535700
2016-09-01,53.310001,54.860001,52.110001,54.060001,52.857719,18931800
2016-10-01,54.060001,54.320000,52.380001,52.830002,51.655075,14048400
2016-11-01,53.080002,53.490002,49.090000,50.220001,49.103119,19402400
2016-12-01,50.029999,51.020000,47.799999,50.639999,49.513779,22242400
